book_code,book_name,chapter,verse,reference,motu,english
GEN,Genesis,1,1,GEN 1:1,Matamana negana ai na Dirava ese guba bona tanobada e karadia.,"In the beginning, God + 1:1 The Hebrew word rendered “God” is “” (Elohim). * created the heavens and the earth."
GEN,Genesis,1,2,GEN 1:2,Tanobada na asi oromana bona asi anina; dibura danu gadobada vada e gorua ahu. Bena Dirava laumana na gado kopina ai e loava.,The earth was formless and empty. Darkness was on the surface of the deep and God’s Spirit was hovering over the surface of the waters.
GEN,Genesis,1,3,GEN 1:3,"Dirava eto, Diari aine vara. Bena diari na e vara.","God said, “Let there be light,” and there was light."
GEN,Genesis,1,4,GEN 1:4,"Dirava ese diari e itaia, vada e namo; bena Dirava ese diari bona dibura e haridia.","God saw the light, and saw that it was good. God divided the light from the darkness."
GEN,Genesis,1,5,GEN 1:5,"Dirava ese diari ladana e hatoa Dina; dibura ladana e hatoa Boi. Ado e rahi daba e rere, dina gini-gunana.","God called the light “day”, and the darkness he called “night”. There was evening and there was morning, the first day."
GEN,Genesis,1,6,GEN 1:6,"Dirava ma eto, Ḡau ta aine vara gadobada daenai, ranu baine haridia.","God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”"
GEN,Genesis,1,7,GEN 1:7,"Bena Dirava ese ḡau ta e karaia, henu ranudia bona atai ranudia ihididia. Bena unu e vara toma.","God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so."
GEN,Genesis,1,8,GEN 1:8,"Dirava ese una ḡau ladana e hatoa Guba. Ado e rahi, daba e rere, dina iharuana.","God called the expanse “sky”. There was evening and there was morning, a second day."
GEN,Genesis,1,9,GEN 1:9,"Dirava ma eto, Guba henunai e miamu ranudia na ae hahebou, gabu tamona ai, tano kaukauna baine hedinarai. Bena unu e vara toma.","God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear;” and it was so."
GEN,Genesis,1,10,GEN 1:10,"Dirava ese tano kaukauna ladana e hatoa Tanobada; bona ranu na edia gabu ai e hahebou ladadia e hato Davara. Dirava ese e itaia, vada e namo.","God called the dry land “earth”, and the gathering together of the waters he called “seas”. God saw that it was good."
