lexeme,phonetic,gloss_en,part_of_speech,example_sentence,semantic_domain,notes
e,,,,,,Freq: 45342. Example: GEN 1:1. 
na,,,,,,Freq: 33975. Example: GEN 1:1. 
ai,,,,,,Freq: 23244. Example: GEN 1:1. 
bona,,,,,,Freq: 22162. Example: GEN 1:1. 
ese,,,,,,Freq: 19445. Example: GEN 1:1. 
ena,,,,,,Freq: 12950. Example: GEN 1:24. 
taudia,,,,,,Freq: 11800. Example: GEN 3:20. 
bena,,,,,,Freq: 11432. Example: GEN 1:2. 
ia,,,,,,Freq: 8939. Example: GEN 1:26. 
ta,,,,,,Freq: 8141. Example: GEN 1:6. 
a,,,,,,Freq: 7880. Example: GEN 1:29. 
vada,,,,,,Freq: 7739. Example: GEN 1:2. 
baine,,,,,,Freq: 7666. Example: GEN 1:6. 
amo,,,,,,Freq: 7632. Example: GEN 2:6. 
ba,,,,,,Freq: 7567. Example: GEN 1:22. 
be,,,,,,Freq: 7083. Example: GEN 2:3. 
iehova,,,,,,Freq: 6936. Example: GEN 2:4. 
bae,,,,,,Freq: 6503. Example: GEN 1:14. 
tauna,,,,,,Freq: 5957. Example: GEN 2:5. 
eto,,,,,,Freq: 5581. Example: GEN 1:3. 
edia,,,,,,Freq: 5567. Example: GEN 1:10. 
kara,,,,,,Freq: 4928. Example: GEN 1:16. 
iboudiai,,,,,,Freq: 4768. Example: GEN 1:21. 
badina,,,,,,Freq: 4534. Example: GEN 2:3. 
idia,,,,,,Freq: 4122. Example: GEN 2:25. 
dirava,,,,,,Freq: 4105. Example: GEN 1:1. 
lau,,,,,,Freq: 4070. Example: GEN 1:26. 
mai,,,,,,Freq: 3905. Example: GEN 1:11. 
o,,,,,,Freq: 3662. Example: GEN 3:11. 
danu,,,,,,Freq: 3639. Example: GEN 1:2. 
baina,,,,,,Freq: 3460. Example: GEN 3:15. 
henia,,,,,,Freq: 3249. Example: GEN 3:2. 
ida,,,,,,Freq: 3240. Example: GEN 2:25. 
hereva,,,,,,Freq: 3077. Example: GEN 2:23. 
egu,,,,,,Freq: 2997. Example: GEN 4:13. 
ela,,,,,,Freq: 2915. Example: GEN 2:10. 
una,,,,,,Freq: 2870. Example: GEN 1:8. 
emu,,,,,,Freq: 2839. Example: GEN 2:16. 
oi,,,,,,Freq: 2810. Example: GEN 2:17. 
israel,,,,,,Freq: 2708. Example: GEN 32:28. 
hanua,,,,,,Freq: 2624. Example: GEN 4:17. 
natuna,,,,,,Freq: 2564. Example: GEN 4:17. 
mase,,,,,,Freq: 2386. Example: GEN 2:17. 
negana,,,,,,Freq: 2372. Example: GEN 1:1. 
tano,,,,,,Freq: 2344. Example: GEN 1:9. 
raka,,,,,,Freq: 2187. Example: GEN 4:16. 
ḡaudia,,,,,,Freq: 2116. Example: GEN 1:20. 
dainai,,,,,,Freq: 2082. Example: GEN 2:23. 
henidia,,,,,,Freq: 2065. Example: GEN 1:30. 
dina,,,,,,Freq: 2041. Example: GEN 1:5. 
asi,,,,,,Freq: 2002. Example: GEN 1:2. 
ma,,,,,,Freq: 1988. Example: GEN 1:6. 
pavapavana,,,,,,Freq: 1948. Example: GEN 14:2. 
emui,,,,,,Freq: 1941. Example: GEN 9:5. 
dika,,,,,,Freq: 1925. Example: GEN 2:9. 
ina,,,,,,Freq: 1886. Example: GEN 2:23. 
unu,,,,,,Freq: 1876. Example: GEN 1:7. 
taunimanima,,,,,,Freq: 1854. Example: GEN 1:26. 
taunabunai,,,,,,Freq: 1791. Example: GEN 2:20. 
tau,,,,,,Freq: 1760. Example: GEN 2:15. 
abia,,,,,,Freq: 1690. Example: GEN 2:15. 
mauri,,,,,,Freq: 1635. Example: GEN 1:20. 
eiava,,,,,,Freq: 1634. Example: GEN 8:8. 
ḡauna,,,,,,Freq: 1617. Example: GEN 3:6. 
umui,,,,,,Freq: 1599. Example: GEN 3:1. 
itaia,,,,,,Freq: 1593. Example: GEN 1:4. 
hari,,,,,,Freq: 1573. Example: GEN 2:15. 
basio,,,,,,Freq: 1561. Example: GEN 2:17. 
heḡereḡerena,,,,,,Freq: 1544. Example: GEN 2:16. 
kau,,,,,,Freq: 1544. Example: GEN 6:13. 
ḡau,,,,,,Freq: 1535. Example: GEN 1:6. 
bema,,,,,,Freq: 1532. Example: GEN 4:15. 
lou,,,,,,Freq: 1526. Example: GEN 3:19. 
kamonai,,,,,,Freq: 1521. Example: GEN 3:8. 
lasi,,,,,,Freq: 1506. Example: GEN 2:21. 
toma,,,,,,Freq: 1494. Example: GEN 1:7. 
se,,,,,,Freq: 1464. Example: GEN 2:5. 
ini,,,,,,Freq: 1425. Example: GEN 6:15. 
basine,,,,,,Freq: 1395. Example: GEN 4:12. 
heto,,,,,,Freq: 1383. Example: GEN 2:23. 
lao,,,,,,Freq: 1357. Example: GEN 8:9. 
to,,,,,,Freq: 1341. Example: GEN 2:25. 
tuari,,,,,,Freq: 1324. Example: GEN 14:2. 
hesiai,,,,,,Freq: 1311. Example: GEN 9:25. 
ruma,,,,,,Freq: 1280. Example: GEN 7:1. 
iesu,,,,,,Freq: 1254. Example: MAT 1:1. 
kahana,,,,,,Freq: 1251. Example: GEN 2:8. 
bese,,,,,,Freq: 1234. Example: GEN 1:24. 
diba,,,,,,Freq: 1233. Example: GEN 2:19. 
idoinai,,,,,,Freq: 1231. Example: GEN 1:26. 
gwau,,,,,,Freq: 1212. Example: GEN 3:13. 
dae,,,,,,Freq: 1192. Example: GEN 1:22. 
iuda,,,,,,Freq: 1172. Example: GEN 29:35. 
lalonai,,,,,,Freq: 1163. Example: GEN 3:8. 
diho,,,,,,Freq: 1130. Example: GEN 2:2. 
do,,,,,,Freq: 1119. Example: GEN 2:5. 
namo,,,,,,Freq: 1114. Example: GEN 1:4. 
david,,,,,,Freq: 1110. Example: RUT 4:17. 
asie,,,,,,Freq: 1099. Example: GEN 2:25. 
tanobada,,,,,,Freq: 1079. Example: GEN 1:1. 
noho,,,,,,Freq: 1077. Example: GEN 2:8. 
totona,,,,,,Freq: 1073. Example: GEN 1:17. 
ladana,,,,,,Freq: 1072. Example: GEN 1:5. 
oho,,,,,,Freq: 1065. Example: GEN 4:14. 
gabuna,,,,,,Freq: 1009. Example: GEN 2:21. 
nega,,,,,,Freq: 1003. Example: GEN 4:3. 
isi,,,,,,Freq: 1002. Example: GEN 12:5. 
dubu,,,,,,Freq: 1001. Example: GEN 31:54. 
tore,,,,,,Freq: 995. Example: GEN 12:5. 
tanona,,,,,,Freq: 977. Example: GEN 2:11. 
haida,,,,,,Freq: 972. Example: GEN 10:21. 
hahelaḡa,,,,,,Freq: 969. Example: GEN 14:18. 
vairanai,,,,,,Freq: 962. Example: GEN 2:19. 
dia,,,,,,Freq: 961. Example: GEN 2:18. 
dahaka,,,,,,Freq: 920. Example: GEN 3:13. 
karaia,,,,,,Freq: 885. Example: GEN 1:7. 
haere,,,,,,Freq: 872. Example: GEN 3:2. 
tamona,,,,,,Freq: 867. Example: GEN 1:9. 
karadia,,,,,,Freq: 865. Example: GEN 1:1. 
mose,,,,,,Freq: 856. Example: EXO 2:10. 
herevadia,,,,,,Freq: 849. Example: GEN 2:4. 
ierusalem,,,,,,Freq: 845. Example: JOS 10:1. 
mo,,,,,,Freq: 842. Example: GEN 2:17. 
gabu,,,,,,Freq: 839. Example: GEN 1:9. 
tao,,,,,,Freq: 837. Example: GEN 8:1. 
basie,,,,,,Freq: 828. Example: GEN 8:22. 
tomamu,,,,,,Freq: 820. Example: GEN 12:12. 
diravana,,,,,,Freq: 816. Example: GEN 14:19. 
ura,,,,,,Freq: 795. Example: GEN 2:16. 
hebou,,,,,,Freq: 790. Example: GEN 3:7. 
taravatu,,,,,,Freq: 782. Example: GEN 9:9. 
hamaoroa,,,,,,Freq: 780. Example: GEN 3:4. 
lohia,,,,,,Freq: 760. Example: GEN 10:8. 
