lexeme,frequency,example_verse,english_gloss,clare_pronunciation,notes
e,45342,GEN 1:1,,,
na,33975,GEN 1:1,,,
ai,23244,GEN 1:1,,,
bona,22162,GEN 1:1,,,
ese,19445,GEN 1:1,,,
ena,12950,GEN 1:24,,,
taudia,11800,GEN 3:20,,,
bena,11432,GEN 1:2,,,
ia,8939,GEN 1:26,,,
ta,8141,GEN 1:6,,,
a,7880,GEN 1:29,,,
vada,7739,GEN 1:2,,,
baine,7666,GEN 1:6,,,
amo,7632,GEN 2:6,,,
ba,7567,GEN 1:22,,,
be,7083,GEN 2:3,,,
iehova,6936,GEN 2:4,,,
bae,6503,GEN 1:14,,,
tauna,5957,GEN 2:5,,,
eto,5581,GEN 1:3,,,
edia,5567,GEN 1:10,,,
kara,4928,GEN 1:16,,,
iboudiai,4768,GEN 1:21,,,
badina,4534,GEN 2:3,,,
idia,4122,GEN 2:25,,,
dirava,4105,GEN 1:1,,,
lau,4070,GEN 1:26,,,
mai,3905,GEN 1:11,,,
o,3662,GEN 3:11,,,
danu,3639,GEN 1:2,,,
baina,3460,GEN 3:15,,,
henia,3249,GEN 3:2,,,
ida,3240,GEN 2:25,,,
hereva,3077,GEN 2:23,,,
egu,2997,GEN 4:13,,,
ela,2915,GEN 2:10,,,
una,2870,GEN 1:8,,,
emu,2839,GEN 2:16,,,
oi,2810,GEN 2:17,,,
israel,2708,GEN 32:28,,,
hanua,2624,GEN 4:17,,,
natuna,2564,GEN 4:17,,,
mase,2386,GEN 2:17,,,
negana,2372,GEN 1:1,,,
tano,2344,GEN 1:9,,,
raka,2187,GEN 4:16,,,
ḡaudia,2116,GEN 1:20,,,
dainai,2082,GEN 2:23,,,
henidia,2065,GEN 1:30,,,
dina,2041,GEN 1:5,,,
asi,2002,GEN 1:2,,,
ma,1988,GEN 1:6,,,
pavapavana,1948,GEN 14:2,,,
emui,1941,GEN 9:5,,,
dika,1925,GEN 2:9,,,
ina,1886,GEN 2:23,,,
unu,1876,GEN 1:7,,,
taunimanima,1854,GEN 1:26,,,
taunabunai,1791,GEN 2:20,,,
tau,1760,GEN 2:15,,,
abia,1690,GEN 2:15,,,
mauri,1635,GEN 1:20,,,
eiava,1634,GEN 8:8,,,
ḡauna,1617,GEN 3:6,,,
umui,1599,GEN 3:1,,,
itaia,1593,GEN 1:4,,,
hari,1573,GEN 2:15,,,
basio,1561,GEN 2:17,,,
heḡereḡerena,1544,GEN 2:16,,,
kau,1544,GEN 6:13,,,
ḡau,1535,GEN 1:6,,,
bema,1532,GEN 4:15,,,
lou,1526,GEN 3:19,,,
kamonai,1521,GEN 3:8,,,
lasi,1506,GEN 2:21,,,
toma,1494,GEN 1:7,,,
se,1464,GEN 2:5,,,
ini,1425,GEN 6:15,,,
basine,1395,GEN 4:12,,,
heto,1383,GEN 2:23,,,
lao,1357,GEN 8:9,,,
to,1341,GEN 2:25,,,
tuari,1324,GEN 14:2,,,
hesiai,1311,GEN 9:25,,,
ruma,1280,GEN 7:1,,,
iesu,1254,MAT 1:1,,,
kahana,1251,GEN 2:8,,,
bese,1234,GEN 1:24,,,
diba,1233,GEN 2:19,,,
idoinai,1231,GEN 1:26,,,
gwau,1212,GEN 3:13,,,
dae,1192,GEN 1:22,,,
iuda,1172,GEN 29:35,,,
lalonai,1163,GEN 3:8,,,
diho,1130,GEN 2:2,,,
do,1119,GEN 2:5,,,
namo,1114,GEN 1:4,,,
